类型,大类,等级,期刊简称,期刊全称,出版社,网址
会议,网络与信息安全,C,SAC,Selected Areas in Cryptography,Springer,http://dblp.uni-trier.de/db/conf/sacrypt/
会议,网络与信息安全,C,SOUPS,Symposium On Usable Privacy and Security,USENIX,http://dblp.uni-trier.de/db/conf/soups/
会议,网络与信息安全,C,HotSec,USENIX Workshop on Hot Topics in Security,USENIX,http://www.usenix.org/events/
会议,网络与信息安全,C,EuroS&P,IEEE European Symposium on Security and Privacy,IEEE,https://dblp.org/db/conf/eurosp/index.html
会议,网络与信息安全,C,Inscrypt,International Conference on Information Security and Cryptology,Springer,https://dblp.org/db/conf/cisc/index.html
会议,网络与信息安全,C,CODASPY,Conference on Data and Application Security and Privacy,ACM,https://dblp.uni-trier.de/db/conf/codaspy/index.html
会议,网络与信息安全,C,BlockSys,"International Conference on Blockchain, Artificial Intelligence, and Trustworthy Systems",Springer,https://dblp.uni-trier.de/db/conf/blocksys/index.html
会议,网络与信息安全,C,CSCloud,International Conference on Cyber Security and Cloud Computing,IEEE CSCloud Steering Committee,https://dblp.uni-trier.de/db/conf/cscloud/index.html
期刊,软件工程/系统软件/程序设计语言,A,TOPLAS,ACM Transactions on Programming Languages and Systems,ACM,http://dblp.uni-trier.de/db/journals/toplas/
期刊,软件工程/系统软件/程序设计语言,A,TOSEM,ACM Transactions on Software Engineering and Methodology,ACM,http://dblp.uni-trier.de/db/journals/tosem/
期刊,软件工程/系统软件/程序设计语言,A,TSE,IEEE Transactions on Software Engineering,IEEE,http://dblp.uni-trier.de/db/journals/tse/
期刊,软件工程/系统软件/程序设计语言,A,TSC,IEEE Transactions on Services Computing,IEEE,http://dblp.uni-trier.de/db/journals/tsc/
期刊,软件工程/系统软件/程序设计语言,B,ASE,Automated Software Engineering,Springer,http://dblp.uni-trier.de/db/journals/ase/
期刊,软件工程/系统软件/程序设计语言,B,ESE,Empirical Software Engineering,Springer,http://dblp.uni-trier.de/db/journals/ese/
期刊,软件工程/系统软件/程序设计语言,B,IETS,IET Software,IET,https://dblp.uni-trier.de/db/journals/iet-sen/
期刊,软件工程/系统软件/程序设计语言,B,IST,Information and Software Technology Cambridge,Elsevier,http://dblp.uni-trier.de/db/journals/infsof/index.html
期刊,软件工程/系统软件/程序设计语言,B,JFP,Journal of Functional Programming,Cambridge University Press,http://dblp.uni-trier.de/db/journals/jfp/
期刊,软件工程/系统软件/程序设计语言,B,JSS,Journal of Systems and Software,Elsevier,http://dblp.uni-trier.de/db/journals/jss/
期刊,软件工程/系统软件/程序设计语言,B,RE,Requirements Engineering,Springer,http://dblp.uni-trier.de/db/journals/re/
期刊,软件工程/系统软件/程序设计语言,B,SCP,Science of Computer Programming,Elsevier,http://dblp.uni-trier.de/db/journals/scp/
期刊,软件工程/系统软件/程序设计语言,B,SoSyM,Software and Systems Modeling,Springer,http://dblp.uni-trier.de/db/journals/sosym/
期刊,软件工程/系统软件/程序设计语言,B,STVR,"Software Testing, Verification and Reliability",Wiley,http://dblp.uni-trier.de/db/journals/stvr/index.html
期刊,软件工程/系统软件/程序设计语言,B,SPE,Software: Practice and Experience,Wiley,http://dblp.uni-trier.de/db/journals/spe/
期刊,软件工程/系统软件/程序设计语言,C,CL,"Computer Languages, Systems and Structures",Elsevier,http://dblp.uni-trier.de/db/journals/cl/index.html
期刊,软件工程/系统软件/程序设计语言,C,IJSEKE,International Journal of Software Engineering and Knowledge Engineering,World Scientific,http://dblp.uni-trier.de/db/journals/ijseke/index.html
期刊,软件工程/系统软件/程序设计语言,C,STTT,International Journal of Software Tools for Technology Transfer,Springer,http://dblp.uni-trier.de/db/journals/sttt/
期刊,软件工程/系统软件/程序设计语言,C,JLAMP,Journal of Logical and Algebraic Methods in Programming,Elsevier,https://dblp.uni-trier.de/db/journals/jlap/index.html
期刊,软件工程/系统软件/程序设计语言,C,JWE,Journal of Web Engineering,Rinton Press,http://dblp.uni-trier.de/db/journals/jwe/
期刊,软件工程/系统软件/程序设计语言,C,SOCA,Service Oriented Computing and Applications,Springer,http://dblp.uni-trier.de/db/journals/soca/
期刊,软件工程/系统软件/程序设计语言,C,SQJ,Software Quality Journal,Springer,http://dblp.uni-trier.de/db/journals/sqj/
期刊,软件工程/系统软件/程序设计语言,C,TPLP,Theory and Practice of Logic Programming,Cambridge University Press,http://dblp.uni-trier.de/db/journals/tplp/
期刊,软件工程/系统软件/程序设计语言,C,PACM PL,Proceedings of the ACM on Programming Languages,ACM,https://dblp.org/db/journals/pacmpl/index.html
会议,软件工程/系统软件/程序设计语言,A,PLDI,ACM SIGPLAN Conference on Programming Language Design and Implementation,ACM,http://dblp.uni-trier.de/db/conf/pldi/
会议,软件工程/系统软件/程序设计语言,A,POPL,ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages,ACM,http://dblp.uni-trier.de/db/conf/popl/
会议,软件工程/系统软件/程序设计语言,A,FSE,ACM International Conference on the Foundations of Software Engineering,ACM,http://dblp.uni-trier.de/db/conf/sigsoft/
会议,软件工程/系统软件/程序设计语言,A,SOSP,ACM Symposium on Operating Systems Principles,ACM,http://dblp.uni-trier.de/db/conf/sosp/
会议,软件工程/系统软件/程序设计语言,A,OOPSLA,"Conference on Object-Oriented Programming Systems, Languages, and Applications",ACM,http://dblp.uni-trier.de/db/conf/oopsla/
会议,软件工程/系统软件/程序设计语言,A,ASE,International Conference on Automated Software Engineering,IEEE/ACM,http://dblp.uni-trier.de/db/conf/kbse/
会议,软件工程/系统软件/程序设计语言,A,ICSE,International Conference on Software Engineering,IEEE/ACM,http://dblp.uni-trier.de/db/conf/icse/
会议,软件工程/系统软件/程序设计语言,A,ISSTA,International Symposium on Software Testing and Analysis,ACM,http://dblp.uni-trier.de/db/conf/issta/
会议,软件工程/系统软件/程序设计语言,A,OSDI,USENIX Symposium on Operating Systems Design and Implementation,USENIX,http://dblp.uni-trier.de/db/conf/osdi/
会议,软件工程/系统软件/程序设计语言,A,FM,International Symposium on Formal Methods,FME,http://dblp.uni-trier.de/db/conf/fm/
会议,软件工程/系统软件/程序设计语言,B,ECOOP,European Conference on Object-Oriented Programming,AITO,http://dblp.uni-trier.de/db/conf/ecoop/
会议,软件工程/系统软件/程序设计语言,B,ETAPS,European Joint Conferences on Theory and Practice of Software,Springer,http://dblp.uni-trier.de/db/conf/etaps/
会议,软件工程/系统软件/程序设计语言,B,ICPC,IEEE International Conference on Program Comprehension,IEEE,http://dblp.uni-trier.de/db/conf/iwpc/
会议,软件工程/系统软件/程序设计语言,B,RE,IEEE International Requirements Engineering Conference,IEEE,http://dblp.uni-trier.de/db/conf/re/
会议,软件工程/系统软件/程序设计语言,B,CAiSE,International Conference on Advanced Information Systems Engineering,Springer,http://dblp.uni-trier.de/db/conf/caise/
会议,软件工程/系统软件/程序设计语言,B,ICFP,ACM SIGPLAN International Conference on Function Programming,ACM,http://dblp.uni-trier.de/db/conf/icfp/
会议,软件工程/系统软件/程序设计语言,B,LCTES,"ACM SIGPLAN/SIGBED International Conference on Languages, Compilers and Tools for Embedded Systems",ACM,http://dblp.uni-trier.de/db/conf/lctrts/
会议,软件工程/系统软件/程序设计语言,B,MoDELS,ACM/IEEE International Conference on Model Driven EngineeringLanguages and Systems,IEEE/ACM,http://dblp.uni-trier.de/db/conf/models/
会议,软件工程/系统软件/程序设计语言,B,CP,International Conference on Principles and Practice of Constraint Programming,Springer,http://dblp.uni-trier.de/db/conf/cp/
会议,软件工程/系统软件/程序设计语言,B,ICSOC,International Conference on Service Oriented Computing,Springer,http://dblp.uni-trier.de/db/conf/icsoc/
会议,软件工程/系统软件/程序设计语言,B,SANER,"IEEE International Conference on Software Analysis, Evolution, and Reengineering",IEEE,http://dblp.uni-trier.de/db/conf/wcre/
会议,软件工程/系统软件/程序设计语言,B,ICSME,International Conference on Software Maintenance and Evolution,IEEE,http://dblp.uni-trier.de/db/conf/icsm/
会议,软件工程/系统软件/程序设计语言,B,VMCAI,"International Conference on Verification, Model Checking and Abstract Interpretation",Springer,http://dblp.uni-trier.de/db/conf/vmcai/
会议,软件工程/系统软件/程序设计语言,B,ICWS,IEEE International Conference on Web Services,IEEE,http://dblp.uni-trier.de/db/conf/icws/
会议,软件工程/系统软件/程序设计语言,B,Middleware,International Middleware Conference,ACM/IFIP/USENIX,http://dblp.uni-trier.de/db/conf/middleware/
会议,软件工程/系统软件/程序设计语言,B,SAS,International Static Analysis Symposium,Springer,http://dblp.uni-trier.de/db/conf/sas/
会议,软件工程/系统软件/程序设计语言,B,ESEM,International Symposium on Empirical Software Engineering and Measurement,IEEE/ACM,http://dblp.uni-trier.de/db/conf/esem/
会议,软件工程/系统软件/程序设计语言,B,ISSRE,IEEE International Symposium on Software Reliability Engineering,IEEE,http://dblp.uni-trier.de/db/conf/issre/
会议,软件工程/系统软件/程序设计语言,B,HotOS,USENIX Workshop on Hot Topics in Operating Systems,USENIX,http://dblp.uni-trier.de/db/conf/hotos/
会议,软件工程/系统软件/程序设计语言,B,CC,International Conference on Compiler Construction,ACM,https://dblp.uni-trier.de/db/conf/cc/index.html
会议,软件工程/系统软件/程序设计语言,C,PEPM,ACM SIGPLAN Workshop on Partial Evaluation and Program Manipulation,ACM,http://dblp.uni-trier.de/db/conf/pepm/
会议,软件工程/系统软件/程序设计语言,C,PASTE,ACMSIGPLAN-SIGSOFT Workshop on Program Analysis for Software Tools and Engineering,ACM,http://dblp.uni-trier.de/db/conf/paste/
会议,软件工程/系统软件/程序设计语言,C,APLAS,Asian Symposium on Programming Languages and Systems,Springer,http://dblp.uni-trier.de/db/conf/aplas/
会议,软件工程/系统软件/程序设计语言,C,APSEC,Asia-Pacific Software Engineering Conference,IEEE,http://dblp.uni-trier.de/db/conf/apsec/
会议,软件工程/系统软件/程序设计语言,C,EASE,International Conference on Evaluation and Assessment in Software Engineering,ACM,http://dblp.uni-trier.de/db/conf/ease/
会议,软件工程/系统软件/程序设计语言,C,ICECCS,International Conference on Engineering of Complex Computer Systems,IEEE,http://dblp.uni-trier.de/db/conf/iceccs/
会议,软件工程/系统软件/程序设计语言,C,ICST,"IEEE International Conference on Software Testing, Verification and Validation",IEEE,http://dblp.uni-trier.de/db/conf/icst/
会议,软件工程/系统软件/程序设计语言,C,ISPASS,IEEE International Symposium on Performance Analysis of Systems and Software,IEEE,http://dblp.uni-trier.de/db/conf/ispass/
会议,软件工程/系统软件/程序设计语言,C,SCAM,IEEE International Working Conference on Source Code Analysis and Manipulation,IEEE,http://dblp.uni-trier.de/db/conf/scam/
会议,软件工程/系统软件/程序设计语言,C,COMPSAC,International Computer Software and Applications Conference,IEEE,http://dblp.uni-trier.de/db/conf/compsac/
会议,软件工程/系统软件/程序设计语言,C,ICFEM,International Conference on Formal Engineering Methods,Springer,http://dblp.uni-trier.de/db/conf/icfem/
会议,软件工程/系统软件/程序设计语言,C,SSE,IEEE International Conference on Software Services Engineering,IEEE,http://dblp.uni-trier.de/db/conf/IEEEscc/
会议,软件工程/系统软件/程序设计语言,C,ICSSP,International Conference on Software and System Process,ACM,http://dblp.uni-trier.de/db/conf/ispw/
会议,软件工程/系统软件/程序设计语言,C,SEKE,International Conference on Software Engineering and Knowledge Engineering,KSI,http://dblp.uni-trier.de/db/conf/seke/
会议,软件工程/系统软件/程序设计语言,C,QRS,"International Conference on Software Quality, Reliability and Security",IEEE,https://dblp.uni-trier.de/db/conf/qrs/
会议,软件工程/系统软件/程序设计语言,C,ICSR,International Conference on Software Reuse,Springer,http://dblp.uni-trier.de/db/conf/icsr/
会议,软件工程/系统软件/程序设计语言,C,ICWE,International Conference on Web Engineering,Springer,http://dblp.uni-trier.de/db/conf/icwe/
会议,软件工程/系统软件/程序设计语言,C,SPIN,International Symposium on Model Checking of Software,Springer,http://dblp.uni-trier.de/db/conf/spin/index.html
会议,软件工程/系统软件/程序设计语言,C,ATVA,International Symposium on Automated Technology for Verification and Analysis,Springer,http://dblp.uni-trier.de/db/conf/atva/
会议,软件工程/系统软件/程序设计语言,C,LOPSTR,International Symposium on Logic-based Program Synthesis and Transformation,Springer,http://dblp.uni-trier.de/db/conf/lopstr/
会议,软件工程/系统软件/程序设计语言,C,TASE,Theoretical Aspects of Software Engineering Conference,IEEE,http://dblp.uni-trier.de/db/conf/tase/
会议,软件工程/系统软件/程序设计语言,C,MSR,Mining Software Repositories,IEEE/ACM,http://dblp.uni-trier.de/db/conf/msr/
会议,软件工程/系统软件/程序设计语言,C,REFSQ,Requirements Engineering: Foundation for Software Quality,Springer,http://dblp.uni-trier.de/db/conf/refsq/
会议,软件工程/系统软件/程序设计语言,C,WICSA,Working IEEE/IFIP Conference on Software Architecture,IEEE,http://dblp.uni-trier.de/db/conf/wicsa/
会议,软件工程/系统软件/程序设计语言,C,Internetware,Asia-Pacific Symposium on Internetware,ACM,https://dblp.org/db/conf/internetware/index.html
会议,软件工程/系统软件/程序设计语言,C,RV,International Conference on Runtime Verification,Springer,https://dblp.org/db/conf/rv/index.html
会议,软件工程/系统软件/程序设计语言,C,MEMOCODE,International Conference on Formal Methods and Models for Co-Design,IEEE/ACM,https://dblp.uni-trier.de/db/conf/memocode/index.html
期刊,数据库/数据挖掘/内容检索,A,TODS,ACM Transactions on Database Systems,ACM,http://dblp.uni-trier.de/db/journals/tods/
期刊,数据库/数据挖掘/内容检索,A,TOIS,ACM Transactions on Information Systems,ACM,http://dblp.uni-trier.de/db/journals/tois/
期刊,数据库/数据挖掘/内容检索,A,TKDE,IEEE Transactions on Knowledge and Data Engineering,IEEE,http://dblp.uni-trier.de/db/journals/tkde/
期刊,数据库/数据挖掘/内容检索,A,VLDBJ,The VLDB Journal,Springer,http://dblp.uni-trier.de/db/journals/vldb/
期刊,数据库/数据挖掘/内容检索,B,TKDD,ACM Transactions on Knowledge Discovery from Data,ACM,http://dblp.uni-trier.de/db/journals/tkdd/
期刊,数据库/数据挖掘/内容检索,B,TWEB,ACM Transactions on the Web,ACM,http://dblp.uni-trier.de/db/journals/tweb/
期刊,数据库/数据挖掘/内容检索,B,AEI,Advanced Engineering Informatics,Elsevier,http://dblp.uni-trier.de/db/journals/aei/
期刊,数据库/数据挖掘/内容检索,B,DKE,Data & Knowledge Engineering,Elsevier,http://dblp.uni-trier.de/db/journals/dke/
期刊,数据库/数据挖掘/内容检索,B,DMKD,Data Mining and Knowledge Discovery,Springer,http://dblp.uni-trier.de/db/journals/datamine/
期刊,数据库/数据挖掘/内容检索,B,EJIS,European Journal of Information Systems,Springer,http://dblp.uni-trier.de/db/journals/ejis/
期刊,数据库/数据挖掘/内容检索,B,IPM,Information Processing and Management,Elsevier,http://dblp.uni-trier.de/db/journals/ipm/
期刊,数据库/数据挖掘/内容检索,B,IS,Information Systems,Elsevier,http://dblp.uni-trier.de/db/journals/is/
期刊,数据库/数据挖掘/内容检索,B,JASIST,Journal of the Association for Information Science and Technology,Wiley,http://dblp.uni-trier.de/db/journals/jasis/
期刊,数据库/数据挖掘/内容检索,B,JWS,Journal of Web Semantics,Elsevier,http://dblp.uni-trier.de/db/journals/ws/
期刊,数据库/数据挖掘/内容检索,B,KAIS,Knowledge and Information Systems,Springer,http://dblp.uni-trier.de/db/journals/kais/
期刊,数据库/数据挖掘/内容检索,B,DSE,Data Science and Engineering,CCF/Springer Nature,https://dblp.org/db/journals/dase/index.html
期刊,数据库/数据挖掘/内容检索,C,DPD,Distributed and Parallel Databases,Springer,http://dblp.uni-trier.de/db/journals/dpd/
期刊,数据库/数据挖掘/内容检索,C,I&M,Information & Management,Elsevier,http://dblp.uni-trier.de/db/journals/iam/
期刊,数据库/数据挖掘/内容检索,C,IPL,Information Processing Letters,Elsevier,http://dblp.uni-trier.de/db/journals/ipl/
期刊,数据库/数据挖掘/内容检索,C,IR,Information Retrieval Journal,Springer,http://dblp.uni-trier.de/db/journals/ir/
期刊,数据库/数据挖掘/内容检索,C,IJCIS,International Journal of Cooperative Information Systems,World Scientific,http://dblp.uni-trier.de/db/journals/ijcis/
期刊,数据库/数据挖掘/内容检索,C,IJGIS,International Journal of Geographical Information Science,Taylor & Francis,http://dblp.uni-trier.de/db/journals/gis/
期刊,数据库/数据挖掘/内容检索,C,IJIS,International Journal of Intelligent Systems,Wiley,http://dblp.uni-trier.de/db/journals/ijis/
期刊,数据库/数据挖掘/内容检索,C,IJKM,International Journal of Knowledge Management,IGI,http://dblp.uni-trier.de/db/journals/ijkm/
期刊,数据库/数据挖掘/内容检索,C,IJSWIS,International Journal on Semantic Web and Information Systems,IGI,http://dblp.uni-trier.de/db/journals/ijswis/
期刊,数据库/数据挖掘/内容检索,C,JCIS,Journal of Computer Information Systems,IACIS,http://dblp.uni-trier.de/db/journals/jcis/
期刊,数据库/数据挖掘/内容检索,C,JDM,Journal of Database Management,IGI-Global,http://dblp.uni-trier.de/db/journals/jdm/
期刊,数据库/数据挖掘/内容检索,C,JGITM,Journal of Global Information Technology Management,Ivy League Publishing,https://dblp.org/db/journals/jgim/index.html
期刊,数据库/数据挖掘/内容检索,C,JIIS,Journal of Intelligent Information Systems,Springer,http://dblp.uni-trier.de/db/journals/jiis/
期刊,数据库/数据挖掘/内容检索,C,JSIS,The Journal of Strategic Information Systems,Elsevier,http://dblp.uni-trier.de/db/journals/jsis/
期刊,数据库/数据挖掘/内容检索,C,TIST,ACM Transactions on Intelligent Systems and Technology,ACM,https://dblp.uni-trier.de/db/journals/tist/index.html
期刊,数据库/数据挖掘/内容检索,C,TORS,ACM Transactions on Recommender Systems,ACM,https://dblp.uni-trier.de/db/journals/tors/index.html
会议,数据库/数据挖掘/内容检索,A,SIGMOD,ACM SIGMOD Conference,ACM,http://dblp.uni-trier.de/db/conf/sigmod/
会议,数据库/数据挖掘/内容检索,A,SIGKDD,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,ACM,http://dblp.uni-trier.de/db/conf/kdd/
会议,数据库/数据挖掘/内容检索,A,ICDE,IEEE International Conference on Data Engineering,IEEE,http://dblp.uni-trier.de/db/conf/icde/
会议,数据库/数据挖掘/内容检索,A,SIGIR,International ACM SIGIR Conference on Research and Development in Information Retrieval,ACM,http://dblp.uni-trier.de/db/conf/sigir/
会议,数据库/数据挖掘/内容检索,A,VLDB,International Conference on Very Large Data Bases,Morgan Kaufmann/ACM,http://dblp.uni-trier.de/db/conf/vldb/
会议,数据库/数据挖掘/内容检索,B,CIKM,ACM International Conference on Information and Knowledge Management,ACM,http://dblp.uni-trier.de/db/journals/tkdd/
会议,数据库/数据挖掘/内容检索,B,WSDM,ACM International Conference on Web Search and Data Mining,ACM,http://dblp.uni-trier.de/db/journals/tweb/
会议,数据库/数据挖掘/内容检索,B,PODS,ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems,ACM,http://dblp.uni-trier.de/db/journals/aei/
会议,数据库/数据挖掘/内容检索,B,DASFAA,International Conference on Database Systems for Advanced Applications,Springer,http://dblp.uni-trier.de/db/journals/dke/
会议,数据库/数据挖掘/内容检索,B,ECML-PKDD,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,Springer,http://dblp.uni-trier.de/db/journals/datamine/
会议,数据库/数据挖掘/内容检索,B,ISWC,IEEE International Semantic Web Conference,IEEE,http://dblp.uni-trier.de/db/journals/ejis/
会议,数据库/数据挖掘/内容检索,B,ICDM,IEEE International Conference on Data Mining,IEEE,http://dblp.uni-trier.de/db/journals/geoinformatica/
会议,数据库/数据挖掘/内容检索,B,ICDT,International Conference on Database Theory,Springer,http://dblp.uni-trier.de/db/journals/ipm/
会议,数据库/数据挖掘/内容检索,B,EDBT,International Conference on Extending Database Technology,Springer,http://dblp.uni-trier.de/db/journals/isci/
会议,数据库/数据挖掘/内容检索,B,CIDR,Conference on Innovative Data Systems Research,Online Proceeding,http://dblp.uni-trier.de/db/journals/is/
会议,数据库/数据挖掘/内容检索,B,SDM,SIAM International Conference on Data Mining,SIAM,http://dblp.uni-trier.de/db/journals/jasis/
会议,数据库/数据挖掘/内容检索,B,RecSys,ACM Conference on Recommender Systems,ACM,http://dblp.uni-trier.de/db/journals/ws/
会议,数据库/数据挖掘/内容检索,B,WISE,Web Information Systems Engineering Conference,Springer,http://dblp.uni-trier.de/db/conf/wise/
会议,数据库/数据挖掘/内容检索,C,APWeb,Asia Pacific Web Conference,Springer,http://dblp.uni-trier.de/db/conf/apweb/
会议,数据库/数据挖掘/内容检索,C,DEXA,International Conference on Database and Expert System Applications,Springer,http://dblp.uni-trier.de/db/conf/dexa/
会议,数据库/数据挖掘/内容检索,C,ECIR,European Conference on Information Retrieval,Springer,http://dblp.uni-trier.de/db/conf/ecir/
会议,数据库/数据挖掘/内容检索,C,ESWC,Extended Semantic Web Conference,Springer,http://dblp.uni-trier.de/db/conf/esws/
会议,数据库/数据挖掘/内容检索,C,WebDB,International Workshop on Web and Databases,ACM,http://dblp.uni-trier.de/db/conf/webdb/
会议,数据库/数据挖掘/内容检索,C,ER,International Conference on Conceptual Modeling,Springer,http://dblp.uni-trier.de/db/conf/er/
会议,数据库/数据挖掘/内容检索,C,MDM,International Conference on Mobile Data Management,IEEE,http://dblp.uni-trier.de/db/conf/mdm/
会议,数据库/数据挖掘/内容检索,C,SSDBM,International Conference on Scientific and Statistical Database Management,IEEE,http://dblp.uni-trier.de/db/conf/ssdbm/
会议,数据库/数据挖掘/内容检索,C,WAIM,International Conference on Web Age Information Management,Springer,http://dblp.uni-trier.de/db/conf/waim/
会议,数据库/数据挖掘/内容检索,C,SSTD,International Symposium on Spatial and Temporal Databases,Springer,http://dblp.uni-trier.de/db/conf/ssd/
会议,数据库/数据挖掘/内容检索,C,PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining,Springer,http://dblp.uni-trier.de/db/conf/pakdd/
会议,数据库/数据挖掘/内容检索,C,ADMA,International Conference on Advanced Data Mining and Applications,Springer,https://dblp.org/db/conf/adma/index.html
会议,数据库/数据挖掘/内容检索,C,WISA,Web Information Systems and Applications,Springer,https://dblp.org/db/conf/wisa/index.html
期刊,计算机科学理论,A,TIT,IEEE Transactions on Information Theory,IEEE,http://dblp.uni-trier.de/db/journals/tit/
期刊,计算机科学理论,A,IANDC,Information and Computation,Elsevier,http://dblp.uni-trier.de/db/journals/iandc/
期刊,计算机科学理论,A,SICOMP,SIAM Journal on Computing,SIAM,http://dblp.uni-trier.de/db/journals/siamcomp/
期刊,计算机科学理论,B,TALG,ACM Transactions on Algorithms,ACM,http://dblp.uni-trier.de/db/journals/talg/
期刊,计算机科学理论,B,TOCL,ACM Transactions on Computational Logic,ACM,http://dblp.uni-trier.de/db/journals/tocl/
期刊,计算机科学理论,B,TOMS,ACM Transactions on Mathematical Software,ACM,http://dblp.uni-trier.de/db/journals/toms/
期刊,计算机科学理论,B,Algorithmica,Algorithmica,Springer,http://dblp.uni-trier.de/db/journals/algorithmica/
期刊,计算机科学理论,B,CC,Computational Complexity,Springer,http://dblp.uni-trier.de/db/journals/cc/
期刊,计算机科学理论,B,FAC,Formal Aspects of Computing,Springer,http://dblp.uni-trier.de/db/journals/fac/
期刊,计算机科学理论,B,FMSD,Formal Methods in System Design,Springer,http://dblp.uni-trier.de/db/journals/fmsd/
期刊,计算机科学理论,B,INFORMS,INFORMS Journal on Computing,INFORMS,http://dblp.uni-trier.de/db/journals/informs/
期刊,计算机科学理论,B,JCSS,Journal of Computer and System Sciences,Elsevier,http://dblp.uni-trier.de/db/journals/jcss/
期刊,计算机科学理论,B,JGO,Journal of Global Optimization,Springer,http://dblp.uni-trier.de/db/journals/jgo/
期刊,计算机科学理论,B,JSC,Journal of Symbolic Computation,Elsevier,http://dblp.uni-trier.de/db/journals/jsc/
期刊,计算机科学理论,B,MSCS,Mathematical Structures in Computer Science,Cambridge University Press,http://dblp.uni-trier.de/db/journals/mscs/
期刊,计算机科学理论,B,TCS,Theoretical Computer Science,Elsevier,http://dblp.uni-trier.de/db/journals/tcs/
期刊,计算机科学理论,C,ACTA,Acta Informatica,Springer,http://dblp.uni-trier.de/db/journals/acta/
期刊,计算机科学理论,C,APAL,Annals of Pure and Applied Logic,Elsevier,http://dblp.uni-trier.de/db/journals/apal/
期刊,计算机科学理论,C,DAM,Discrete Applied Mathematics,Elsevier,http://dblp.uni-trier.de/db/journals/dam/
期刊,计算机科学理论,C,FUIN,Fundamenta Informaticae,IOS Press,http://dblp.uni-trier.de/db/journals/fuin/
期刊,计算机科学理论,C,IPL,Information Processing Letters,Elsevier,http://dblp.uni-trier.de/db/journals/ipl/
期刊,计算机科学理论,C,JCOMPLEXITY,Journal of Complexity,Elsevier,http://dblp.uni-trier.de/db/journals/jc/
期刊,计算机科学理论,C,LOGCOM,Journal of Logic and Computation,Oxford University Press,http://dblp.uni-trier.de/db/journals/logcom/
期刊,计算机科学理论,C,JSL,The Journal of Symbolic Logic,Association for Symbolic Logic,http://dblp.uni-trier.de/db/journals/jsyml/
期刊,计算机科学理论,C,LMCS,Logical Methods in Computer Science,LMCS,http://dblp.uni-trier.de/db/journals/lmcs/
期刊,计算机科学理论,C,SIDMA,SIAM Journal on Discrete Mathematics,SIAM,http://dblp.uni-trier.de/db/journals/siamdm/
期刊,计算机科学理论,C,TQC,ACM Transactions in Quantum Computing,ACM,https://dblp.org/db/journals/tqc/index.html
会议,计算机科学理论,A,STOC,ACM Symposium on the Theory of Computing,ACM,http://dblp.uni-trier.de/db/conf/stoc/
会议,计算机科学理论,A,SODA,ACM-SIAM Symposium on Discrete Algorithms,SIAM,http://dblp.uni-trier.de/db/conf/soda/
会议,计算机科学理论,A,CAV,International Conference on Computer Aided Verification,Springer,http://dblp.uni-trier.de/db/conf/cav/
会议,计算机科学理论,A,FOCS,IEEE Annual Symposium on Foundations of Computer Science,IEEE,http://dblp.uni-trier.de/db/conf/focs/
会议,计算机科学理论,A,LICS,ACM/IEEE Symposium on Logic in Computer Science,IEEE,http://dblp.uni-trier.de/db/conf/lics/
会议,计算机科学理论,B,SoCG,International Symposium on Computational Geometry,ACM,http://dblp.uni-trier.de/db/conf/compgeom/
会议,计算机科学理论,B,ESA,European Symposium on Algorithms,Springer,http://dblp.uni-trier.de/db/conf/esa/
会议,计算机科学理论,B,CCC,Conference on Computational Complexity,IEEE,http://dblp.uni-trier.de/db/conf/coco/
会议,计算机科学理论,B,ICALP,"International Colloquium on Automata, Languages and Programming",Springer,http://dblp.uni-trier.de/db/conf/icalp/
会议,计算机科学理论,B,CADE,Conference on Automated Deduction,Springer,http://dblp.uni-trier.de/db/conf/cade/
会议,计算机科学理论,B,CONCUR,International Conference on Concurrency Theory,Springer,http://dblp.uni-trier.de/db/conf/concur/
会议,计算机科学理论,B,HSCC,International Conference on Hybrid Systems: Computation and Control,Springer/ ACM,http://dblp.uni-trier.de/db/conf/hybrid/
会议,计算机科学理论,B,SAT,International Conference on Theory and Applications of Satisfiability Testing,Springer,http://dblp.uni-trier.de/db/conf/sat/
会议,计算机科学理论,B,COCOON,International Computing and Combinatorics Conference,Springer,https://dblp.org/db/conf/cocoon/index.html
会议,计算机科学理论,B,FMCAD,Formal Methods in Computer-Aided Design,ACM,http://dblp.uni-trier.de/db/journals/apal/
会议,计算机科学理论,C,CSL,Computer Science Logic,Springer,http://dblp.uni-trier.de/db/journals/acta/
会议,计算机科学理论,C,FSTTCS,Foundations of Software Technology and Theoretical Computer Science,Indian Association for Research in Computing Science,http://dblp.uni-trier.de/db/journals/dam/
会议,计算机科学理论,C,DSAA,IEEE International Conference on Data Science and Advanced Analytics,IEEE,http://dblp.uni-trier.de/db/journals/fuin/
会议,计算机科学理论,C,ICTAC,International Colloquium on Theoretical Aspects of Computing,Springer,http://dblp.uni-trier.de/db/journals/ipl/
会议,计算机科学理论,C,IPCO,International Conference on Integer Programming and Combinatorial Optimization,Springer,http://dblp.uni-trier.de/db/journals/jc/
